Title,Author,Rate
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99
The Outsiders,S.E. Hinton,4.11
The Adventures of Huckleberry Finn,Mark Twain,3.82
The Odyssey,Homer,3.79
The Lovely Bones,Alice Sebold,3.83
Where the Wild Things Are,Maurice Sendak,4.22
Green Eggs and Ham,Dr. Seuss,4.29
Life of Pi,Yann Martel,3.92
A Tale of Two Cities,Charles Dickens,3.86
The Kite Runner,Khaled Hosseini,4.32
Water for Elephants,Sara Gruen,4.10
Lolita,Vladimir Nabokov,3.88
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.83
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.12
"The Giver (The Giver, #1)",Lois Lowry,4.13
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08
Little Women,Louisa May Alcott,4.11
"Dune (Dune, #1)",Frank Herbert,4.25
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62
1984,George Orwell,4.19
Catch-22,Joseph Heller,3.98
The Stand,Stephen King,4.34
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.32
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.30
"Watership Down (Watership Down, #1)",Richard  Adams,4.07
The Bell Jar,Sylvia Plath,4.03
Matilda,Roald Dahl,4.32
Great Expectations,Charles Dickens,3.79
Anna Karenina,Leo Tolstoy,4.07
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.37
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19
"Outlander (Outlander, #1)",Diana Gabaldon,4.24
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.15
Rebecca,Daphne du Maurier,4.23
My Sister's Keeper,Jodi Picoult,4.08
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58
The Color Purple,Alice Walker,4.24
A Tree Grows in Brooklyn,Betty  Smith,4.28
The Brothers Karamazov,Fyodor Dostoevsky,4.34
A Clockwork Orange,Anthony Burgess,4.00
The Road,Cormac McCarthy,3.97
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.12
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11
Siddhartha,Hermann Hesse,4.05
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.00
The Poisonwood Bible,Barbara Kingsolver,4.07
Don Quixote,Miguel de Cervantes Saavedra,3.88
Atlas Shrugged,Ayn Rand,3.69
The Old Man and the Sea,Ernest Hemingway,3.79
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.12
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.33
The Complete Stories and Poems,Edgar Allan Poe,4.37
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.01
A Prayer for Owen Meany,John Irving,4.23
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56
"Moby-Dick or, the Whale",Herman Melville,3.52
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31
The Secret Life of Bees,Sue Monk Kidd,4.07
The Red Tent,Anita Diamant,4.19
And Then There Were None,Agatha Christie,4.27
The Stranger,Albert Camus,4.00
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52
The Shining,Stephen King,4.25
The Master and Margarita,Mikhail Bulgakov,4.29
Middlesex,Jeffrey Eugenides,4.02
Flowers for Algernon,Daniel Keyes,4.17
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.92
The Adventures of Tom Sawyer,Mark Twain,3.92
The Metamorphosis,Franz Kafka,3.84
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.14
Looking for Alaska,John Green,3.99
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89
The Very Hungry Caterpillar,Eric Carle,4.30
On the Road,Jack Kerouac,3.62
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.28
Tuesdays with Morrie,Mitch Albom,4.13
The Unbearable Lightness of Being,Milan Kundera,4.11
The Name of the Rose,Umberto Eco,4.13
Where the Red Fern Grows,Wilson Rawls,4.09
"The Godfather (The Godfather, #1)",Mario Puzo,4.37
The Count of Monte Cristo,Alexandre Dumas,4.27
The Scarlet Letter,Nathaniel Hawthorne,3.42
In Cold Blood,Truman Capote,4.07
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.52
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22
It,Stephen King,4.24
Fight Club,Chuck Palahniuk,4.18
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.28
The Five People You Meet in Heaven,Mitch Albom,3.95
Perfume: The Story of a Murderer,Patrick Süskind,4.03
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.94
"Holes (Holes, #1)",Louis Sachar,3.98
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,4.17
"American Gods (American Gods, #1)",Neil Gaiman,4.10
Lonesome Dove (Lonesome Dove #1),Larry McMurtry,4.49
Watchmen,Alan Moore,4.37
The Divine Comedy,Dante Alighieri,4.05
The Addiction Manifesto,Jerry Weaver,4.97
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.34
Peter Pan,J.M. Barrie,4.04
All Quiet on the Western Front,Erich Maria Remarque,4.01
Love in the Time of Cholera,Gabriel García Márquez,3.93
"Insurgent (Divergent, #2)",Veronica Roth,4.00
The Compleat Works of Wllm Shkspr,Adam Long,4.46
A Walk to Remember,Nicholas Sparks,4.19
The Thorn Birds,Colleen McCullough,4.23
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.24
How the Grinch Stole Christmas!,Dr. Seuss,4.35
Their Eyes Were Watching God,Zora Neale Hurston,3.96
The Importance of Being Earnest,Oscar Wilde,4.18
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.36
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,3.59
Atonement,Ian McEwan,3.92
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,3.98
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,4.08
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.55
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.40
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25
Goodnight Moon,Margaret Wise Brown,4.29
The Lorax,Dr. Seuss,4.33
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.35
A Midsummer Night's Dream,William Shakespeare,3.95
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.30
Tess of the D'Urbervilles,Thomas Hardy,3.82
Heart of Darkness,Joseph Conrad,3.43
"The Good Earth (House of Earth, #1)",Pearl S. Buck,3.99
The Prophet,Kahlil Gibran,4.22
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.04
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.48
The Call of the Wild,Jack London,3.89
Bridge to Terabithia,Katherine Paterson,4.02
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.12
The Joy Luck Club,Amy Tan,3.95
Alice in Wonderland,Jane Carruth,4.02
The Phantom Tollbooth,Norton Juster,4.18
Jonathan Livingston Seagull,Richard Bach,3.85
Madame Bovary,Gustave Flaubert,3.69
Oliver Twist,Charles Dickens,3.87
"Oh, the Places You'll Go!",Dr. Seuss,4.34
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24
The Neverending Story,Michael Ende,4.17
Treasure Island,Robert Louis Stevenson,3.84
Ulysses,James Joyce,3.74
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.19
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.53
The Clan of the Cave Bear (Earth's Children #1),Jean M. Auel,4.07
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19
The Canterbury Tales,Geoffrey Chaucer,3.52
The World According to Garp,John Irving,4.09
A Farewell to Arms,Ernest Hemingway,3.81
David Copperfield,Charles Dickens,4.01
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.30
The Boy in the Striped Pajamas,John Boyne,4.16
"The Selection (The Selection, #1)",Kiera Cass,4.11
The Night Circus,Erin Morgenstern,4.03
Thirteen Reasons Why,Jay Asher,3.88
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.54
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.06
A Little Princess,Frances Hodgson Burnett,4.20
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.27
Shōgun,James Clavell,4.39
Schindler's List,Thomas Keneally,4.32
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97
Beloved,Toni Morrison,3.91
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.32
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.07
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37
The Silmarillion,J.R.R. Tolkien,3.95
"Fallen (Fallen, #1)",Lauren Kate,3.72
The Trial,Franz Kafka,3.96
The Secret Magdalene,Ki Longfellow,4.13
The Velveteen Rabbit,Margery Williams Bianco,4.27
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42
A Confederacy of Dunces,John Kennedy Toole,3.88
The Iliad/The Odyssey,Homer,4.05
The Sun Also Rises,Ernest Hemingway,3.81
The Crucible,Arthur  Miller,3.60
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32
The Diary of a Young Girl,Anne Frank,4.17
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.48
Cat's Cradle,Kurt Vonnegut Jr.,4.16
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.22
The God of Small Things,Arundhati Roy,3.95
Man's Search for Meaning,Viktor E. Frankl,4.36
The Wind in the Willows,Kenneth Grahame,3.99
The Screwtape Letters,C.S. Lewis,4.24
The Secret History,Donna Tartt,4.13
A Light in the Attic,Shel Silverstein,4.33
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.42
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.10
Girl with a Pearl Earring,Tracy Chevalier,3.91
"Uglies (Uglies, #1)",Scott Westerfeld,3.85
The Phantom of the Opera,Gaston Leroux,3.96
The Green Mile,Stephen King,4.45
Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,3.99
She's Come Undone,Wally Lamb,3.89
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.41
The Wind-Up Bird Chronicle,Haruki Murakami,4.16
Blindness,José Saramago,4.15
The Sound and the Fury,William Faulkner,3.86
The Shack,William Paul Young,3.79
Misery,Stephen King,4.19
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.27
"Marked (House of Night, #1)",P.C. Cast,3.80
The House of the Spirits,Isabel Allende,4.25
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.17
Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07
For Whom the Bell Tolls,Ernest Hemingway,3.97
The Complete Calvin and Hobbes,Bill Watterson,4.78
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.60
Gone Girl,Gillian Flynn,4.10
Stranger in a Strange Land,Robert A. Heinlein,3.92
Roots: The Saga of an American Family,Alex Haley,4.42
Island of the Blue Dolphins,Scott O'Dell,3.85
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson,4.22
Speak,Laurie Halse Anderson,4.03
Paper Towns,John Green,3.75
Norwegian Wood,Haruki Murakami,4.03
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,3.90
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.06
Othello,William Shakespeare,3.90
The Idiot,Fyodor Dostoevsky,4.19
"Delirium (Delirium, #1)",Lauren Oliver,3.96
White Oleander,Janet Fitch,3.98
King Lear,William Shakespeare,3.91
Midnight Sun [2008 Draft],Stephenie Meyer,4.01
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,3.85
"Inkheart (Inkworld, #1)",Cornelia Funke,3.89
Into the Wild,Jon Krakauer,4.00
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.07
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.05
"Neverwhere (London Below, #1)",Neil Gaiman,4.17
I Know This Much Is True,Wally Lamb,4.19
The Complete Sherlock Holmes,Arthur Conan Doyle,4.48
Uncle Tom's Cabin,Harriet Beecher Stowe,3.89
Kafka on the Shore,Haruki Murakami,4.14
Candide,Voltaire,3.77
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,4.21
Paradise Lost,John Milton,3.82
The Historian,Elizabeth Kostova,3.79
Invisible Man,Ralph Ellison,3.89
The Things They Carried,Tim O'Brien,4.13
James and the Giant Peach,Roald Dahl,4.02
"All Creatures Great and Small (All Creatures Great and Small, #1)",James Herriot,4.31
The Complete Works,William Shakespeare,4.47
Leaves of Grass,Walt Whitman,4.11
The Time Machine,H.G. Wells,3.90
The Thirteenth Tale,Diane Setterfield,3.96
"Foundation (Foundation, #1)",Isaac Asimov,4.17
Heidi,Johanna Spyri,4.00
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07
Different Seasons,Stephen King,4.34
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.23
The Cider House Rules,John Irving,4.14
Never Let Me Go,Kazuo Ishiguro,3.83
Sophie's World,Jostein Gaarder,3.95
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.06
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55
"Are You There God? It's Me, Margaret",Judy Blume,3.90
The Lord of the Rings,J.R.R. Tolkien,4.51
Walden,Henry David Thoreau,3.78
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.41
Fangirl,Rainbow Rowell,4.00
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.24
The Awakening,Kate Chopin,3.67
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.63
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.45
Sophie's Choice,William Styron,4.18
Mrs. Dalloway,Virginia Woolf,3.79
The Prince of Tides,Pat Conroy,4.24
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26
"Wonder (Wonder, #1)",R.J. Palacio,4.40
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.96
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.84
"Legend (Legend, #1)",Marie Lu,4.16
Middlemarch,George Eliot,3.99
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.71
The Song of Achilles,Madeline Miller,4.41
The Monster at the End of this Book,Jon Stone,4.44
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,3.79
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09
Eleanor & Park,Rainbow Rowell,3.99
"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.04
Stardust,Neil Gaiman,4.09
"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.45
Franny and Zooey,J.D. Salinger,3.97
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.09
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.33
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13
Black Beauty,Anna Sewell,3.97
Number the Stars,Lois Lowry,4.16
"If I Stay (If I Stay, #1)",Gayle Forman,3.93
The Art of Racing in the Rain,Garth Stein,4.21
A Short History of Nearly Everything,Bill Bryson,4.19
V for Vendetta,Alan Moore,4.25
"The Gunslinger (The Dark Tower, #1)",Stephen King,3.94
The Graveyard Book,Neil Gaiman,4.14
"Allegiant (Divergent, #3)",Veronica Roth,3.61
White Fang,Jack London,3.99
Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,3.58
The Witches,Roald Dahl,4.16
A Portrait of the Artist as a Young Man,James Joyce,3.63
The Complete Novels,Jane Austen,4.57
Love You Forever,Robert Munsch,4.36
American Psycho,Bret Easton Ellis,3.82
East of Eden,John Steinbeck,4.38
Bel Canto,Ann Patchett,3.93
القرآن الكريم,Anonymous,4.37
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.84
Beowulf,Unknown,3.46
The Complete Maus,Art Spiegelman,4.53
The Martian,Andy Weir,4.40
Tuck Everlasting,Natalie Babbitt,3.88
Steppenwolf,Hermann Hesse,4.13
Cold Mountain,Charles Frazier,3.87
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,4.00
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.16
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.92
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.18
As I Lay Dying,William Faulkner,3.72
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.76
Go Ask Alice,Beatrice Sparks,3.76
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.18
A Separate Peace,John Knowles,3.59
Hamlet,William Shakespeare,4.03
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.11
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.68
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.06
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18
Mansfield Park,Jane Austen,3.86
"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.15
'Salem's Lot,Stephen King,4.04
The Martian Chronicles,Ray Bradbury,4.15
The Hunchback of Notre-Dame,Victor Hugo,4.00
Cloud Atlas,David Mitchell,4.00
Tao Te Ching,Lao Tzu,4.28
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77
Dear John,Nicholas Sparks,4.03
Inferno,Dante Alighieri,4.01
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.73
The Last Song,Nicholas Sparks,4.15
"Robinson Crusoe (Robinson Crusoe, #1)",Daniel Defoe,3.68
The English Patient,Michael Ondaatje,3.87
Midnight's Children,Salman Rushdie,3.98
"The Amber Spyglass (His Dark Materials, #3)",Philip Pullman,4.09
The Firm,Robin Waterfield,4.04
All the Light We Cannot See,Anthony Doerr,4.32
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,4.00
Doctor Zhivago,Boris Pasternak,4.00
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.77
The BFG,Roald Dahl,4.21
"My Ántonia (Great Plains Trilogy, #3)",Willa Cather,3.81
"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,4.40
Room,Emma Donoghue,4.06
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.60
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.19
Like Water for Chocolate,Laura Esquivel,3.95
11/22/63,Stephen King,4.31
Breakfast of Champions,Kurt Vonnegut Jr.,4.07
The Plague,Albert Camus,4.02
Breakfast at Tiffany's and Three Stories,Truman Capote,3.87
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,4.32
Death of a Salesman,Arthur  Miller,3.55
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83
The Origin of Species,Charles Darwin,3.99
A Fine Balance,Rohinton Mistry,4.35
Midnight in the Garden of Good and Evil,John Berendt,3.92
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.13
The Remains of the Day,Kazuo Ishiguro,4.14
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99
A Streetcar Named Desire,Tennessee Williams,3.98
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.53
"Evermore (The Immortals, #1)",Alyson Noel,3.59
Infinite Jest,David Foster Wallace,4.26
The Prince,Niccolò Machiavelli,3.82
"Faust, First Part",Johann Wolfgang von Goethe,3.90
"Hopeless (Hopeless, #1)",Colleen Hoover,4.28
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.91
War and Peace,Leo Tolstoy,4.14
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.14
The Grapes of Wrath,John Steinbeck,3.99
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.35
Snow Flower and the Secret Fan,Lisa See,4.08
"Matched (Matched, #1)",Ally Condie,3.64
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,4.16
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,4.00
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.36
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.83
"The Angel Experiment (Maximum Ride, #1)",James Patterson,4.07
The Scarlet Pimpernel,Emmuska Orczy,4.06
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45
Houdini Heart,Ki Longfellow,3.76
The Virgin Suicides,Jeffrey Eugenides,3.83
The Chosen (Reuven Malther #1),Chaim Potok,4.05
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.14
Jonathan Strange & Mr Norrell,Susanna Clarke,3.83
The Shipping News,Annie Proulx,3.87
High Fidelity,Nick Hornby,3.92
The Tales of Beedle the Bard,J.K. Rowling,4.05
"The One (The Selection, #3)",Kiera Cass,4.18
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.85
"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,4.36
"The Host (The Host, #1)",Stephenie Meyer,3.85
The Reader,Bernhard Schlink,3.77
Shantaram,Gregory David Roberts,4.24
Nineteen Minutes,Jodi Picoult,4.13
Waiting for Godot,Samuel Beckett,3.83
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,3.99
Northanger Abbey,Jane Austen,3.84
Redeeming Love,Francine Rivers,4.50
The Age of Innocence,Edith Wharton,3.96
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.26
"Neuromancer (Sprawl, #1)",William Gibson,3.90
Dubliners,James Joyce,3.85
"The Lost Symbol (Robert Langdon, #3)",Dan Brown,3.73
Coraline,Neil Gaiman,4.07
The Elephant Tree,R.D. Ronald,4.17
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,4.43
"Betrayed (House of Night, #2)",P.C. Cast,3.92
"Red Queen (Red Queen, #1)",Victoria Aveyard,4.04
Carrie,Stephen King,3.97
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.08
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.84
"I, Robot (Robot, #0.1)",Isaac Asimov,4.21
The Waste Land,T.S. Eliot,4.10
The Pearl,John Steinbeck,3.50
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.32
To the Lighthouse,Virginia Woolf,3.79
"Untamed (House of Night, #4)",P.C. Cast,3.94
Everything Is Illuminated,Jonathan Safran Foer,3.89
The Jungle,Upton Sinclair,3.76
"The Twilight Collection (Twilight, #1-3)",Stephenie Meyer,3.80
"Voyager (Outlander, #3)",Diana Gabaldon,4.37
All the Bright Places,Jennifer Niven,4.15
"I, Claudius (Claudius, #1)",Robert Graves,4.22
A Room with a View,E.M. Forster,3.91
Me Talk Pretty One Day,David Sedaris,3.99
Pet Sematary,Stephen King,4.02
The Republic,Plato,3.95
Snow Falling on Cedars,David Guterson,3.85
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,4.02
"Chosen (House of Night, #3)",P.C. Cast,3.91
We Were Liars,E. Lockhart,3.78
Bleak House,Charles Dickens,4.00
Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,4.13
"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,4.01
The Exorcist,William Peter Blatty,4.19
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.54
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.29
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.18
Of Human Bondage,W. Somerset Maugham,4.11
